"","x"
"1","arg_z657"
"2","bla_3855"
"3","srr16201473"
"4","cyb_0871"
"5","drr297879"
"6","srr3144091"
"7","srr6997746"
"8","srr12432334"
"9","cic_0821"
"10","cic_2413"
"11","cic_1009"
"12","srr1654705"
"13","srr1514883"
"14","drr296607"
"15","p8116"
"16","p8873"
"17","drr165497"
"18","drr165498"
"19","drr297617"
"20","drr297387"
"21","drr296643"
"22","hah_0394"
"23","hah_3085"
"24","p2234"
"25","drr297193"
"26","srr12687654"
"27","srr6997628"
"28","p4980"
"29","p8120"
"30","omm_3652"
"31","tox_0016"
"32","drr297435"
"33","p8875"
"34","p1065"
"35","lat_1472"
"36","lat_7230"
"37","lat_7235"
"38","p8117"
"39","p8876"
"40","p8716"
"41","p1090"
"42","p7478"
"43","p8653"
"44","p8665"
"45","p8658"
"46","p9579"
"47","p8612"
"48","srr12687652"
"49","p1006"
"50","dic_3498"
"51","emb_3497"
"52","p1676"
"53","p8913"
"54","p2900"
"55","p1652"
"56","p7249"
"57","p5992"
"58","drr297156"
"59","drr165483"
"60","drr296937"
"61","p8608"
"62","p8890"
"63","p2426"
"64","p2312"
"65","p8598"
"66","dic_3191"
"67","p3223"
"68","p8603"
"69","drr297439"
"70","p8690"
"71","a_2233_3"
"72","p8908"
"73","p4029"
"74","mex_7231"
"75","sal_1726"
"76","p3349"
"77","drr296785"
"78","p9593"
"79","cha_1477"
"80","p0631"
"81","p8331"
"82","drr297366"
"83","srr12959050"
"84","srr9994194"
